split,area,horizon,model,mice,mean_nrmse,sem_nrmse,median_nrmse,persistence_mean_nrmse,improvement_vs_persistence_pct,display_model
supervised_test,aHV,0,persistence,3,1.7308653183882512,0.2821835397845234,1.6393970832700644,1.7308653183882512,0.0,Last-before W20 persistence
supervised_test,aHV,0,selected_nested,3,1.3478253459175453,0.2842448764216133,1.2655236570805104,1.7308653183882512,22.129969813444838,Direct boundary forecaster
supervised_test,aHV,1,persistence,3,3.709398010090006,1.053989046099263,3.057930185266236,3.709398010090006,0.0,Last-before W20 persistence
supervised_test,aHV,1,selected_nested,3,3.2239304752242774,1.0669884706843296,2.627251954971019,3.709398010090006,13.087501895056796,Direct boundary forecaster
supervised_test,mHV,0,persistence,3,1.5158905097644328,0.14631427415584344,1.5274779491065182,1.5158905097644328,0.0,Last-before W20 persistence
supervised_test,mHV,0,selected_nested,3,0.8490748197595402,0.1857371778868286,0.813364937516318,1.5158905097644328,43.988380803869184,Direct boundary forecaster
supervised_test,mHV,1,persistence,3,1.9397435740033895,0.3447356585726984,1.5987825403052995,1.9397435740033895,0.0,Last-before W20 persistence
supervised_test,mHV,1,selected_nested,3,0.8668796607967199,0.2645829908491214,0.6745237258038789,1.9397435740033895,55.309574295555564,Direct boundary forecaster
unsupervised_lomo,aHV,0,persistence,9,0.7260071245408979,0.11960950869464845,0.6394479132849374,0.7260071245408979,0.0,Last-before W20 persistence
unsupervised_lomo,aHV,0,selected_nested,9,0.8747317048022272,0.16030750446235015,0.748511158364005,0.7260071245408979,-20.485278344255597,Direct boundary forecaster
unsupervised_lomo,aHV,1,persistence,9,1.1327034508156493,0.2373808998172922,0.810058477660044,1.1327034508156493,0.0,Last-before W20 persistence
unsupervised_lomo,aHV,1,selected_nested,9,1.0049693923767504,0.3783598957096417,0.9177150772485863,1.1327034508156493,11.276919686871157,Direct boundary forecaster
unsupervised_lomo,mHV,0,persistence,9,1.1729699341462803,0.20802795399601012,1.2045484522725678,1.1729699341462803,0.0,Last-before W20 persistence
unsupervised_lomo,mHV,0,selected_nested,9,0.9286533180704379,0.14026282733592277,0.9485034768190451,1.1729699341462803,20.8288898942378,Direct boundary forecaster
unsupervised_lomo,mHV,1,persistence,9,1.3987511684601555,0.13811692511003437,1.5657901548280193,1.3987511684601555,0.0,Last-before W20 persistence
unsupervised_lomo,mHV,1,selected_nested,9,0.9110662710716062,0.12801603357233457,0.8078390134886472,1.3987511684601555,34.86573655022769,Direct boundary forecaster
