split,area,horizon,model,metric,mice,mae,rmse,bias,mean_observed,mean_predicted,mean_scaled_absolute_error,persistence_mae,persistence_rmse,mae_improvement_vs_persistence_pct
supervised_test,aHV,0,persistence,frac_circle_selective,3,0.09766666666666667,0.09968450230602548,0.09766666666666667,0.18433333333333335,0.282,1.313584405247399,0.09766666666666667,0.09968450230602548,0.0
supervised_test,aHV,0,persistence,frac_leaf_selective,3,0.2213333333333333,0.2302534835060409,-0.2213333333333333,0.4306666666666666,0.20933333333333334,1.710513804428154,0.2213333333333333,0.2302534835060409,0.0
supervised_test,aHV,0,persistence,median,3,0.25508010977258283,0.2666022113683581,-0.25508010977258283,0.19563936380048594,-0.05944074597209692,1.707552368571803,0.25508010977258283,0.2666022113683581,0.0
supervised_test,aHV,0,persistence,q05,3,0.0721056073904038,0.08048960621770374,-0.0721056073904038,-0.7357432246208191,-0.8078488320112228,0.5396869721895204,0.0721056073904038,0.08048960621770374,0.0
supervised_test,aHV,0,persistence,q95,3,0.4327948053677879,0.4435065052367031,-0.4327948053677879,1.1034771134455998,0.6706823080778119,2.5521743154074237,0.4327948053677879,0.4435065052367031,0.0
supervised_test,aHV,0,persistence,sd_dprime,3,0.11858905057467539,0.12296007531373698,-0.11858905057467539,0.5885017167532909,0.46991266617861555,1.824542712937804,0.11858905057467539,0.12296007531373698,0.0
supervised_test,aHV,0,selected_nested,frac_circle_selective,3,0.05163316323879338,0.0558352183811381,0.05163316323879338,0.18433333333333335,0.23596649657212668,0.6944489900075661,0.09766666666666667,0.09968450230602548,47.133279960279815
supervised_test,aHV,0,selected_nested,frac_leaf_selective,3,0.17380055636407254,0.1835618291119912,-0.17380055636407254,0.4306666666666666,0.25686611030259415,1.3431698081839138,0.2213333333333333,0.2302534835060409,21.475652245147934
supervised_test,aHV,0,selected_nested,median,3,0.1873596185275043,0.2027671160708208,-0.1873596185275043,0.19563936380048594,0.008279745272981628,1.254219157568108,0.25508010977258283,0.2666022113683581,26.54871495290435
supervised_test,aHV,0,selected_nested,q05,3,0.03955919808991607,0.04361280470286047,-0.024420580942439967,-0.7357432246208191,-0.760163805563259,0.2960877054096293,0.0721056073904038,0.08048960621770374,45.13714047823023
supervised_test,aHV,0,selected_nested,q95,3,0.36743047421148334,0.37998278391951495,-0.36743047421148334,1.1034771134455998,0.7360466392341166,2.166723369481348,0.4327948053677879,0.4435065052367031,15.102845585394242
supervised_test,aHV,0,selected_nested,sd_dprime,3,0.09340793621228007,0.09906453055654366,-0.09340793621228007,0.5885017167532909,0.4950937805410109,1.4371206154429685,0.11858905057467539,0.12296007531373698,21.233928630315503
supervised_test,aHV,1,persistence,frac_circle_selective,3,0.05433333333333334,0.06439720490828775,0.048999999999999995,0.23299999999999998,0.282,0.6960935197093371,0.05433333333333334,0.06439720490828775,0.0
supervised_test,aHV,1,persistence,frac_leaf_selective,3,0.25833333333333336,0.25982365814785485,-0.25833333333333336,0.4676666666666667,0.20933333333333334,2.7735675848455195,0.25833333333333336,0.25982365814785485,0.0
supervised_test,aHV,1,persistence,median,3,0.29353405193736154,0.29668295533238176,-0.29353405193736154,0.23409330596526465,-0.05944074597209692,2.2969725084815376,0.29353405193736154,0.29668295533238176,0.0
supervised_test,aHV,1,persistence,q05,3,0.22252293229103084,0.3457575603890315,0.20244407256444288,-1.0102929045756657,-0.8078488320112228,2.2171866786211285,0.22252293229103084,0.3457575603890315,0.0
supervised_test,aHV,1,persistence,q95,3,0.9327004780371982,0.9946650070445596,-0.9327004780371982,1.60338278611501,0.6706823080778119,6.253068217787599,0.9327004780371982,0.9946650070445596,0.0
supervised_test,aHV,1,persistence,sd_dprime,3,0.36506375479827424,0.41356890802543367,-0.36506375479827424,0.8349764209768898,0.46991266617861555,4.474844097403353,0.36506375479827424,0.41356890802543367,0.0
supervised_test,aHV,1,selected_nested,frac_circle_selective,3,0.04567640507168039,0.05026594049189152,0.020319059119928883,0.23299999999999998,0.25331905911992886,0.5851849614849463,0.05433333333333334,0.06439720490828775,15.932996800588251
supervised_test,aHV,1,selected_nested,frac_leaf_selective,3,0.20738451309815986,0.20936423515938268,-0.20738451309815986,0.4676666666666667,0.2602821535685068,2.2265611475923635,0.25833333333333336,0.25982365814785485,19.722123962002648
supervised_test,aHV,1,selected_nested,median,3,0.24071260648740625,0.24646332603954096,-0.24071260648740625,0.23409330596526465,-0.006619300522141598,1.8836323618920179,0.29353405193736154,0.29668295533238176,17.994997548436753
supervised_test,aHV,1,selected_nested,q05,3,0.2288808020682006,0.34274809112761445,0.19303448231970954,-1.0102929045756657,-0.8172584222559562,2.280535583964117,0.22252293229103084,0.3457575603890315,-2.8571750838041643
supervised_test,aHV,1,selected_nested,q95,3,0.83633553223752,0.9031871763506737,-0.83633553223752,1.60338278611501,0.7670472538774903,5.60701238949332,0.9327004780371982,0.9946650070445596,10.331821208290936
supervised_test,aHV,1,selected_nested,sd_dprime,3,0.28793086231399956,0.35097588439215394,-0.28793086231399956,0.8349764209768898,0.5470455586628903,3.5293717953403063,0.36506375479827424,0.41356890802543367,21.12860876229593
supervised_test,mHV,0,persistence,frac_circle_selective,3,0.051,0.05641808220774612,0.051,0.283,0.334,0.7054231307569383,0.051,0.05641808220774612,0.0
supervised_test,mHV,0,persistence,frac_leaf_selective,3,0.17033333333333336,0.17484755264706073,-0.17033333333333336,0.4443333333333334,0.274,1.9486897586335505,0.17033333333333336,0.17484755264706073,0.0
supervised_test,mHV,0,persistence,median,3,0.22337127352754274,0.24343694791000967,-0.22337127352754274,0.18339366962512335,-0.03997760390241941,1.516724693489625,0.22337127352754274,0.24343694791000967,0.0
supervised_test,mHV,0,persistence,q05,3,0.3254495849212011,0.33509943448882645,0.3254495849212011,-1.3741359253724417,-1.0486863404512405,0.8565557135831524,0.3254495849212011,0.33509943448882645,0.0
supervised_test,mHV,0,persistence,q95,3,0.7314135253429415,0.7315361275508024,-0.7314135253429415,1.7112260500589997,0.9798125247160584,1.6725825804859344,0.7314135253429415,0.7315361275508024,0.0
supervised_test,mHV,0,persistence,sd_dprime,3,0.48471308572338473,0.4870998728402232,-0.48471308572338473,1.1337483038774867,0.6490352181541023,1.7592447973161554,0.48471308572338473,0.4870998728402232,0.0
supervised_test,mHV,0,selected_nested,frac_circle_selective,3,0.05602005056075379,0.059767097308706184,0.05602005056075379,0.283,0.33902005056075374,0.7748595970927239,0.051,0.05641808220774612,-9.843236393634891
supervised_test,mHV,0,selected_nested,frac_leaf_selective,3,0.10422599070681954,0.10848796911346276,-0.10422599070681954,0.4443333333333334,0.3401073426265138,1.1923920978893239,0.17033333333333336,0.17484755264706073,38.81057297055606
supervised_test,mHV,0,selected_nested,median,3,0.1731873888768152,0.19839529590288593,-0.1731873888768152,0.18339366962512335,0.010206280748308122,1.1759685350858988,0.22337127352754274,0.24343694791000967,22.466579456798254
supervised_test,mHV,0,selected_nested,q05,3,0.0973079451919084,0.10643843006754836,0.001175021614736001,-1.3741359253724417,-1.3729609037577053,0.25610626128574193,0.3254495849212011,0.33509943448882645,70.10045497047756
supervised_test,mHV,0,selected_nested,q95,3,0.19514850741997378,0.1994765453399124,-0.19514850741997378,1.7112260500589997,1.516077542639026,0.4462619063072925,0.7314135253429415,0.7315361275508024,73.31899115093974
supervised_test,mHV,0,selected_nested,sd_dprime,3,0.16459173499662713,0.17735463625095224,-0.16459173499662713,1.1337483038774867,0.9691565688808598,0.597378453362614,0.48471308572338473,0.4870998728402232,66.04347193330034
supervised_test,mHV,1,persistence,frac_circle_selective,3,0.020666666666666667,0.02445403852127496,-0.01733333333333333,0.35133333333333333,0.334,0.449600096338878,0.020666666666666667,0.02445403852127496,0.0
supervised_test,mHV,1,persistence,frac_leaf_selective,3,0.13166666666666668,0.13308017633491975,-0.13166666666666668,0.4056666666666667,0.274,1.819339811080796,0.13166666666666668,0.13308017633491975,0.0
supervised_test,mHV,1,persistence,median,3,0.12402676915129025,0.14448897692849788,-0.12402676915129025,0.08404916524887085,-0.03997760390241941,1.108067890645181,0.12402676915129025,0.14448897692849788,0.0
supervised_test,mHV,1,persistence,q05,3,0.704274089137713,0.7381397371151563,0.704274089137713,-1.7529604295889536,-1.0486863404512405,2.1349427842970545,0.704274089137713,0.7381397371151563,0.0
supervised_test,mHV,1,persistence,q95,3,1.0320629596710205,1.0779842017589107,-1.0320629596710205,2.0118754843870787,0.9798125247160584,2.289405879113445,1.0320629596710205,1.0779842017589107,0.0
