task,model,mouse,V1,aHV,lHV,mHV,mHV_minus_aHV_log_skill
cross_day,exposure_shift,TX108,-0.17470807337450056,0.20627429583997905,0.001155330185999327,0.37327896741986366,0.1670046715798846
cross_day,exposure_shift,TX109,-0.18141643126213272,0.24108714607070086,-0.10865844759506695,0.5620391187702038,0.320951972699503
cross_day,exposure_shift,TX60,-0.6929596944078861,0.20496224401909588,-0.065338038547986,0.3867289096603878,0.18176666564129193
cross_day,exposure_shift,VR2,0.33540077753752306,0.20585324274473324,-0.10370325073783054,0.5362102565850424,0.33035701384030913
cross_day,ridge_delta,TX108,0.4626372479681486,0.20084235665228775,0.07207976736407605,0.3786383303350613,0.17779597368277353
cross_day,ridge_delta,TX109,0.5337751231699174,0.2302684638526585,0.016280085067226134,0.5748908827366268,0.3446224188839683
cross_day,ridge_delta,TX60,-0.6839210902258145,0.1966922893685737,-0.08927277076622225,0.3823217634917556,0.18562947412318193
cross_day,ridge_delta,VR2,0.1556231460160818,0.20558921964054938,-0.1281983995981624,0.5315373497592104,0.32594813011866103
cross_day,ridge_delta_behavior,TX108,0.49151294088383934,0.20151385814790457,0.09439485039457686,0.38001993802408446,0.1785060798761799
cross_day,ridge_delta_behavior,TX109,0.5263844599018276,0.23117593057358424,0.03153826653606768,0.5773797315669832,0.346203800993399
cross_day,ridge_delta_behavior,TX60,-0.6807488284225911,0.19640426127782237,-0.09388198902761848,0.38182692328118234,0.18542266200335997
cross_day,ridge_delta_behavior,VR2,0.06790669644942077,0.20517614410542792,-0.14849173660629655,0.5290945202551908,0.3239183761497628
cross_day,training_mean,TX108,0.38839142836855,0.24345476053826234,0.6793956892041232,1.0923726803010891,0.8489179197628268
cross_day,training_mean,TX109,0.3842883992803714,0.008802127721270234,0.03805598639878136,0.37321473338329986,0.3644126056620296
cross_day,training_mean,TX60,-0.6673371948395563,-0.0012231597201828686,0.3367923084161743,0.18075840397431772,0.18198156369450058
cross_day,training_mean,VR2,-0.15661838758958474,0.026544768560916372,-0.03336230744974005,0.23687370774108416,0.2103289391801678
next_window,ridge_level,TX108,-0.16964094745404362,0.057265995236976064,-0.30024830453934204,-0.19912029568858453,-0.2563862909255606
next_window,ridge_level,TX109,-0.20578219472789375,-0.341524469777325,-0.23494158432552184,-0.33740645902900507,0.004118010748319911
next_window,ridge_level,TX60,0.06416913778318796,-0.03283372813950638,0.10267691091329212,-0.037780831874942494,-0.004947103735436116
next_window,ridge_level,VR2,-0.032048615066750365,-0.34650198538854454,0.16431712463464257,-0.00962174095181615,0.33688024443672837
next_window,ridge_level_behavior,TX108,-0.22241956528791293,-0.011197731843534921,-0.3506672444981714,-0.258896861242806,-0.24769912939927105
next_window,ridge_level_behavior,TX109,-0.3474578820251846,-0.3377634301162389,-0.25219851805801363,-0.3659951272859353,-0.028231697169696424
next_window,ridge_level_behavior,TX60,0.04527825135029676,0.015966214886865154,0.09964437028615086,-0.022145048573114518,-0.03811126345997967
next_window,ridge_level_behavior,VR2,-0.01090996034062207,-0.3321629437435713,0.11295311022025954,-0.08689222311189358,0.2452707206316777
next_window,ridge_window_delta,TX108,-0.15305010797458887,0.048849521866717024,-0.15683898034042482,-0.19009333390798014,-0.23894285577469715
next_window,ridge_window_delta,TX109,-0.09666020264716733,-0.022619864582662068,-0.08474539388685291,-0.23059383400026515,-0.20797396941760307
next_window,ridge_window_delta,TX60,0.059460073173734695,0.04502138418121655,0.13084240283865126,-0.013355599738950428,-0.05837698392016698
next_window,ridge_window_delta,VR2,0.03424716847631867,0.1207716015855193,0.16508792478761536,0.12216866115065861,0.0013970595651393025
next_window,ridge_window_delta_behavior,TX108,-0.1557458108096514,0.04202786566440167,-0.16862421551373658,-0.25592657901443816,-0.2979544446788398
next_window,ridge_window_delta_behavior,TX109,-0.1604268556765975,-0.03389982626030543,-0.08945242749561502,-0.26473650655015274,-0.2308366802898473
next_window,ridge_window_delta_behavior,TX60,0.05575888746966586,0.0692243772766388,0.1292277412424645,0.006911426735414423,-0.06231295054122438
next_window,ridge_window_delta_behavior,VR2,0.06577788293425964,0.11444556983205507,0.16707307723869266,0.02606154039608806,-0.08838402943596702
next_window,transition_shift,TX108,0.058637783334491135,0.017863447643606208,0.06956839157926444,0.0399234528828315,0.022060005239225293
next_window,transition_shift,TX109,0.018672720576005362,0.014172070681246558,0.007180662761751204,0.02047074232117418,0.0062986716399276235
next_window,transition_shift,TX60,-0.01545156327276052,-0.005685904284277464,-0.010121593546924584,-0.021888017277335806,-0.01620211299305834
next_window,transition_shift,VR2,-0.030355730886992914,-0.011642226766768531,-0.029988836706544956,-0.021634640606999274,-0.009992413840230743
